No;Lexique (FR);Définition (FR);Exemple  (FR)
27;Cadrage sélectif;Choix de certains aspects (Entman, 1993).;France24, 15/04/2023: “Les violences dominent le récit médiatique.” → Analyse : Sélection orientée.
28;Cadrage sémiotique;Encadrement du sens par des signes (Kress & van Leeuwen, 2006).;France24, 06/04/2023: “Le terme ‘réforme’ est utilisé pour valoriser la politique.” → Analyse : Cadrage positif.
29;Cadre de l’ACD;Système d’analyse critique (Fairclough, 1995).;Le Monde, 12/06/2023: “L’analyse repose sur une approche critique du discours.” → Analyse : Cadre théorique.
30;Catégorisation;Classement en catégories (van Dijk, 1998).;Libération, 05/03/2024: “Des groupes radicaux contestent la réforme.” → Analyse : Étiquetage.
31;Clôture idéologique;Limitation des interprétations (Fairclough, 1995).;Les Echos, 10/10/2023: “Il n’y a pas d’alternative à cette politique.” → Analyse : Fermeture discursive.
32;Cohérence;Unité de sens du texte (van Dijk, 1980).;Le Monde, 12/06/2023: “L’inflation augmente, ce qui réduit le pouvoir d’achat des ménages.” → Analyse : Cohérence causale.
33;Cohérence locale;Cohérence entre phrases (van Dijk, 1980).;Le Monde, 12/06/2023: “L’inflation augmente, donc des mesures sont prises.” → Analyse : Cohérence logique.
34;Cohésion;Liens grammaticaux du texte (Halliday & Hasan, 1976).;Le Monde, 10/09/2023: “Cette réforme est ambitieuse. Celle-ci vise à transformer l’éducation.” → Analyse : Cohésion par reprise pronominale.
35;Connecteurs discursifs;Liens logiques (Halliday & Hasan, 1976).;Le Monde, 12/06/2023: “La réforme est importante, mais critiquée.” → Analyse : Opposition.
36;Connotation;Sens associé chargé de valeurs (Leech, 1981).;Le Monde, 19/03/2023: “Les manifestations ont dégénéré en violences.” → Analyse : Connotation négative.
37;Conscience critique;Compréhension du pouvoir (van Dijk, 1998).;Le Monde, 19/03/2023: “Le public remet en question le discours officiel.” → Analyse : Conscience accrue.
38;Consommation du discours;Réception du discours (Fairclough, 1995).;Libération, 05/03/2024: “Les réactions du public sont variées.” → Analyse : Interprétation diverse.
39;Contestation de l’autorité;Remise en cause de l’autorité (van Dijk, 1998).;Le Monde, 19/03/2023: “Les propos du gouvernement sont contestés.” → Analyse : Autorité remise en question.
40;Contre-discours;Discours opposé au dominant (Fairclough, 1995).;Libération, 05/03/2024: “Des alternatives sont proposées.” → Analyse : Opposition discursive.
41;Contre-hégémonie;Contestation de l’hégémonie (Gramsci, 1971).;Libération, 05/03/2024: “Des alternatives sont proposées contre la réforme.” → Analyse : Opposition idéologique.
42;Contrôle cognitif;Influence sur les pensées (van Dijk, 1998).;Le Monde, 19/03/2023: “La réforme est présentée comme nécessaire.” → Analyse : Influence cognitive.
43;Contrôle de l’information;Gestion de l’accès à l’information (van Dijk, 1998).;France24, 06/04/2023: “Les informations restent limitées au public.” → Analyse : Contrôle discursif.
44;Contrôle du discours;Pouvoir de contrôler le discours (van Dijk, 1998).;Le Monde, 12/06/2023: “Le gouvernement domine la communication.” → Analyse : Contrôle discursif.
45;Contrôle du sens;Orientation de l’interprétation (van Dijk, 1998).;Le Monde, 19/03/2023: “L’action vise à maintenir la stabilité nationale.” → Analyse : Contrôle interprétatif.
46;Critique émancipatrice;Analyse pour libération sociale (Fairclough, 1995).;Libération, 05/03/2024: “L’analyse vise à dénoncer les inégalités.” → Analyse : Finalité critique.
47;Critique idéologique;Analyse des idéologies dans le discours (Fairclough, 1995).;Libération, 05/03/2024: “La réforme profite à certains groupes.” → Analyse : Critique idéologique.
48;Déconstruction du discours;Analyse critique du sens (Derrida, 1978).;Le Monde, 12/06/2023: “Le terme ‘ordre’ est remis en question.” → Analyse : Déconstruction.
49;Délégitimation;Stratégie visant à affaiblir la légitimité d’un acteur (van Dijk, 1998).;Libération, 05/03/2024: “Cette réforme est jugée injustifiée et inefficace.” → Analyse : Remise en cause de la légitimité.
50;Délégitimation;Remise en cause de la légitimité (van Leeuwen, 2008).;Libération, 05/03/2024: “La réforme est critiquée comme inefficace.” → Analyse : Délégitimation.
51;Délégitimation morale;Critique fondée sur des valeurs morales (van Dijk, 1998).;Libération, 05/03/2024: “Cette réforme est injuste pour les plus pauvres.” → Analyse : Critique morale.
52;Délégitimation narrative;Critique par des récits négatifs (van Dijk, 1998).;Libération, 05/03/2024: “Les précédentes réformes ont eu des effets négatifs.” → Analyse : Narration critique.
53;Délégitimation rationnelle;Critique par des arguments logiques (van Dijk, 1998).;Le Monde, 12/06/2023: “La réforme est jugée inefficace.” → Analyse : Critique rationnelle.
54;Délégitimation traditionnelle;Rejet des traditions (van Dijk, 1998).;Le Figaro, 10/02/2023: “Les anciennes pratiques ne sont plus adaptées.” → Analyse : Tradition contestée.
55;Dénotation;Sens littéral d’un mot sans valeur subjective (Leech, 1981).;Le Monde, 12/06/2023: “Le gouvernement adopte une nouvelle mesure économique.” → Analyse : Usage neutre du lexique.
56;Dialectique du discours;Interaction discours–société (Fairclough, 1995).;France24, 06/04/2023: “La réforme influence la société.” → Analyse : Relation dialectique.
57;Différenciation;Distinction entre groupes sociaux (van Dijk, 1998).;Le Figaro, 10/02/2023: “Les élites et les classes populaires ont des intérêts divergents.” → Analyse : Construction sociale.
58;Différenciation;Opposition entre groupes (van Dijk, 1998).;Libération, 05/03/2024: “Une réforme qui favorise les élites.” → Analyse : Opposition sociale.
59;Discipline discursive;Contrôle du discours (Foucault, 1972).;Libération, 05/03/2024: “Certaines critiques restent marginales.” → Analyse : Restriction discursive.
60;Discours;Système d’énoncés liés au pouvoir (Foucault, 1972).;Le Monde, 02/03/2024: “La modernisation de l’éducation est essentielle pour la compétitivité nationale.” → Analyse : Discours étatique de développement.
61;Discours alternatif;Discours qui conteste le dominant (Fairclough, 1995).;Libération, 05/03/2024: “Des groupes contestent la réforme jugée injuste.” → Analyse : Contre-discours.
62;Discours dominant;Discours prédominant dans la société (Fairclough, 1995).;Les Echos, 10/10/2023: “L’investissement est essentiel à la croissance.” → Analyse : Discours dominant.
63;Discours institutionnel;Discours produit par des institutions (Fairclough, 1995).;Le Monde, 12/06/2023: “Le gouvernement affirme la nécessité de la réforme.” → Analyse : Autorité institutionnelle.
64;Distorsion discursive;Déformation des faits (Fairclough, 1995).;Libération, 05/03/2024: “Les chiffres sont présentés hors contexte.” → Analyse : Distorsion.
65;Distribution du discours;Diffusion du discours (Fairclough, 1995).;France24, 06/04/2023: “La réforme est diffusée sur plusieurs plateformes.” → Analyse : Large diffusion.
66;Domination;Contrôle discursif légitimé (van Dijk, 1998).;Le Monde, 25/03/2023: “Le gouvernement impose sa réforme malgré les contestations massives.” → Analyse : Pouvoir dominant de l’État.
67;Domination symbolique;Domination par les symboles (Bourdieu, 1991).;Le Monde, 19/03/2023: “Le terme ‘maintien de l’ordre’ masque la réalité.” → Analyse : Domination symbolique.
68;Dramatisation;Mise en scène dramatique d’un événement (Fairclough, 1995).;France24, 15/04/2023: “Les manifestations ont plongé la ville dans le chaos.” → Analyse : Dramatisation.
69;Dysphémisme;Terme aggravant une réalité (Allan & Burridge, 1991).;Libération, 05/03/2024: “Une réforme brutale pour les classes populaires.” → Analyse : Intensification négative.
70;Dysphémisme;Expression péjorative (Allan & Burridge, 1991).;Libération, 05/03/2024: “Une réforme oppressive.” → Analyse : Intensification négative.
71;Ellipse;Omission d’éléments (Halliday & Hasan, 1976).;Le Monde, 19/03/2023: “Certains soutiennent, d’autres non.” → Analyse : Élision du sujet.
72;Étiquetage;Attribution d’une étiquette à un acteur (Hall, 1997).;Le Monde, 19/03/2023: “Les manifestants sont qualifiés de perturbateurs.” → Analyse : Étiquette négative.
73;Étiquetage;Attribution d’un label (Fairclough, 1995).;Le Monde, 19/03/2023: “Le mouvement est qualifié de ‘radical’.” → Analyse : Effet de cadrage.
74;Euphémisme;Expression atténuée pour remplacer une réalité dure (Allan & Burridge, 1991).;Le Monde, 25/03/2023: “Les autorités ont procédé à une opération de maintien de l’ordre.” → Analyse : Atténuation de la violence.
75;Euphémisme;Atténuation lexicale (Allan & Burridge, 1991).;Le Monde, 19/03/2023: “Un ajustement des prix.” → Analyse : Atténuation.
76;Évaluation;Expression du jugement (Hunston & Thompson, 2000).;Le Monde, 19/03/2023: “Les manifestations ont été marquées par des actes violents.” → Analyse : Jugement négatif.
77;Évaluation affective;Jugement basé sur l’émotion (Hunston & Thompson, 2000).;Libération, 05/03/2024: “Cette réforme est décevante pour les citoyens.” → Analyse : Émotion négative.
78;Évaluation déontique;Jugement d’obligation (Halliday, 1978).;Le Monde, 19/03/2023: “Le gouvernement doit agir.” → Analyse : Obligation forte.
79;Évaluation épistémique;Jugement sur la certitude (Halliday, 1978).;Le Monde, 12/06/2023: “La réforme devrait améliorer l’économie.” → Analyse : Incertitude modale.
80;Évaluation idéologique;Jugement basé sur une idéologie (van Dijk, 1998).;Le Monde, 12/06/2023: “Cette réforme est jugée défavorable aux plus vulnérables.” → Analyse : Évaluation idéologique.
81;Évidentialité;Indication de la source (Chafe, 1986).;Le Monde, 12/06/2023: “Selon les données officielles, l’inflation baisse.” → Analyse : Source explicite.
82;Exagération;Amplification du sens (Leech, 1981).;Libération, 05/03/2024: “Cette réforme affecte toute la société.” → Analyse : Amplification.
83;Exclusion;Omission d’acteurs (van Leeuwen, 2008).;France24, 15/04/2023: “Des affrontements ont eu lieu dans plusieurs villes.” → Analyse : Agent effacé.
84;Exclusion discursive;Exclusion du discours (Foucault, 1972).;Libération, 05/03/2024: “Certains groupes sont exclus du débat.” → Analyse : Exclusion.
85;Exclusion sélective;Omission d’acteurs (van Leeuwen, 2008).;France24, 15/04/2023: “Des affrontements ont eu lieu.” → Analyse : Acteurs absents.
86;Fonction;Rôle communicatif du langage (Halliday, 1978).;France24, 06/04/2023: “Le président affirme que la réforme est nécessaire.” → Analyse : Fonction persuasive.
87;Gatekeeping;Sélection des informations (Shoemaker & Vos, 2009).;Le Monde, 12/06/2023: “Certains aspects sont privilégiés.” → Analyse : Filtrage médiatique.
88;Généralisation;Présentation d’un fait comme universel (van Dijk, 1998).;Libération, 18/06/2023: “Les classes populaires sont toujours les plus touchées.” → Analyse : Généralisation.
89;Hégémonie;Domination idéologique acceptée (Gramsci, 1971).;Les Echos, 10/10/2023: “Les investissements étrangers sont essentiels pour la croissance.” → Analyse : Naturalisation idéologique.
90;Hégémonie discursive;Domination d’un discours accepté (Gramsci, 1971).;Les Echos, 10/10/2023: “L’investissement est essentiel à la croissance.” → Analyse : Hégémonie.
91;Hégémonie discursive;Domination d’un discours (Gramsci, 1971).;Les Echos, 10/10/2023: “Le discours de croissance domine.” → Analyse : Hégémonie.
92;Hybridité discursive;Mélange de discours (Fairclough, 1995).;Le Monde, 12/06/2023: “La réforme combine économie et social.” → Analyse : Hybridation.
93;Idéologie;Système de croyances (van Dijk, 1998).;Libération, 05/03/2024: “La réforme économique reflète une orientation politique spécifique.” → Analyse : Position idéologique.
94;Idéologie médiatique;Valeurs influençant les médias (Fairclough, 1995).;Le Monde, 19/03/2023: “La stabilité économique est prioritaire.” → Analyse : Orientation idéologique.
95;Image;Représentation sociale construite (Hall, 1997).;France24, 06/04/2023: “Emmanuel Macron défend une réforme nécessaire pour moderniser la France.” → Analyse : Construction d’une image de leader réformateur.
96;Implicature;Sens implicite dérivé du contexte (Grice, 1975).;Le Monde, 12/06/2023: “Cette réforme est une première étape.” → Analyse : Implication d’actions futures.
97;Implicite;Information non dite mais supposée (Yule, 1996).;France24, 05/10/2023: “La réforme devrait améliorer le système éducatif français à long terme.” → Analyse : Suppose une insuffisance du système actuel.
98;Inclusion;Visibilité des acteurs (van Leeuwen, 2008).;Le Monde, 10/09/2023: “Les enseignants et les élèves participent activement à la réforme.” → Analyse : Acteurs visibles.
99;Inclusion sélective;Inclusion partielle des acteurs (van Leeuwen, 2008).;Les Echos, 10/10/2023: “Les investisseurs soutiennent la réforme.” → Analyse : Inclusion limitée.
100;Inférence;Déduction du sens par le lecteur (van Dijk, 1980).;France24, 06/04/2023: “Les prix augmentent fortement.” → Analyse : Inférence économique négative.
101;Intégration théorique;Combinaison des théories (Wodak & Meyer, 2001).;Libération, 05/03/2024: “L’analyse combine plusieurs approches.” → Analyse : Multidisciplinarité.
102;Intensification;Renforcement du sens dans le discours (Fairclough, 1995).;France24, 06/04/2023: “Une crise extrêmement grave.” → Analyse : Intensité élevée.
103;Intensifieur lexical;Mot renforçant le sens (Quirk et al., 1985).;France24, 06/04/2023: “Une crise extrêmement grave.” → Analyse : Intensification.
104;Interaction discursive;Interaction entre participants (Goffman, 1981).;Le Monde, 19/03/2023: “Les acteurs débattent publiquement de la réforme.” → Analyse : Interaction dynamique.
105;Interdiscursivité institutionnelle;Mélange de discours institutionnels (Fairclough, 1995).;Le Monde, 19/03/2023: “Le gouvernement et les entreprises soutiennent la réforme.” → Analyse : Hybridation discursive.
106;Internalisation;Adoption d’une idéologie (van Dijk, 1998).;Le Monde, 19/03/2023: “La réforme est progressivement acceptée.” → Analyse : Acceptation idéologique.
107;Interpellation;Appel à un sujet idéologique (Althusser, 1971).;Le Monde, 19/03/2023: “En tant que citoyens responsables, nous devons soutenir la réforme.” → Analyse : Positionnement idéologique.
108;Intertextualité;Relation entre plusieurs textes (Fairclough, 1995).;Libération, 05/03/2024: “Cette réforme s’inscrit dans une continuité politique.” → Analyse : Référence à d’autres discours.
109;Intertextualité médiatique;Référence entre textes (Fairclough, 1995).;Le Monde, 12/06/2023: “Comme indiqué précédemment…” → Analyse : Continuité discursive.
110;Invisibilisation;Effacement des acteurs (van Leeuwen, 2008).;France24, 15/04/2023: “Les populations concernées ne sont pas mentionnées.” → Analyse : Invisibilité.
111;Ironie;Expression inverse du sens (Leech, 1981).;Libération, 05/03/2024: “Une réforme ‘équitable’…” → Analyse : Ironie critique.
112;Légitimation;La légitimation justifie une action dans le discours. Elle rend le pouvoir acceptable (Fairclough, 1995).;Le Monde, 19/03/2023: “Le gouvernement affirme que la réforme est nécessaire pour garantir l’équilibre du système.” → Analyse : Justification du pouvoir étatique.
113;Légitimation discursive;Justification par le discours (van Leeuwen, 2008).;Le Monde, 12/06/2023: “La réforme est nécessaire pour le pays.” → Analyse : Justification.
114;Légitimation institutionnelle;Justification par institutions (van Leeuwen, 2008).;Le Monde, 12/06/2023: “La réforme est validée par le Parlement.” → Analyse : Légitimation.
115;Légitimation morale;Justification par des valeurs morales (van Leeuwen, 2008).;Le Monde, 19/03/2023: “La réforme est nécessaire pour protéger les citoyens.” → Analyse : Justification morale.
116;Légitimation narrative;Justification par des récits (van Leeuwen, 2008).;Libération, 05/03/2024: “L’histoire montre l’efficacité de cette politique.” → Analyse : Narration légitimante.
117;Légitimation par autorité;Justification par une autorité (van Leeuwen, 2008).;Le Monde, 12/06/2023: “Selon le président, la réforme est nécessaire.” → Analyse : Autorité légitimante.
118;Légitimation rationnelle;Justification par des arguments logiques (van Leeuwen, 2008).;Les Echos, 10/10/2023: “La réforme est indispensable pour l’équilibre économique.” → Analyse : Argument rationnel.
119;Légitimation traditionnelle;Justification par la tradition (van Leeuwen, 2008).;Le Figaro, 10/02/2023: “Cette pratique s’inscrit dans une longue tradition.” → Analyse : Tradition légitimante.
120;Macrostructure;Thème global du texte (van Dijk, 1980).;Le Monde, 19/03/2023: “Les manifestations contre la réforme dominent l’actualité.” → Analyse : Structure globale du discours.
121;Manipulation discursive;Usage stratégique du langage pour influencer (van Dijk, 2006).;Le Monde, 12/06/2023: “Cette réforme est présentée comme la meilleure solution.” → Analyse : Influence implicite.
122;Marginalisation;Processus d’exclusion de certains groupes. Leur visibilité est réduite (van Dijk, 1998).;Libération, 18/06/2023: “Les populations précaires restent largement ignorées dans le débat public.” → Analyse : Invisibilisation des groupes marginalisés.
123;Marginalisation discursive;Exclusion des groupes (van Dijk, 1998).;Libération, 05/03/2024: “Les groupes marginalisés sont absents.” → Analyse : Marginalisation.
124;Maximes conversationnelles;Principes de coopération (Grice, 1975).;Libération, 05/03/2024: “Nous examinerons toutes les options.” → Analyse : Réponse vague.
125;Médiation discursive;Rôle des médias (Fairclough, 1995).;Le Monde, 19/03/2023: “Les médias mettent l’accent sur les impacts économiques.” → Analyse : Médiation orientée.
126;Méta-analyse du discours;Analyse critique de l’analyse (Wodak & Meyer, 2001).;Libération, 05/03/2024: “Les analyses médiatiques révèlent des biais.” → Analyse : Réflexivité critique.
127;Métaphore;Figure qui comprend un concept via un autre (Lakoff & Johnson, 1980).;Les Echos, 10/10/2023: “L’économie française reprend des forces.” → Analyse : Métaphore du corps.
128;Mise à l’agenda;Définition des priorités médiatiques (McCombs & Shaw, 1972).;Le Monde, 19/03/2023: “La sécurité domine la couverture médiatique.” → Analyse : Priorisation.
129;Modalité;La modalité exprime l’attitude du locuteur envers un énoncé. Elle indique possibilité ou certitude (Halliday, 1978).;Le Monde, 12/06/2023: “Le gouvernement devrait prendre des mesures pour limiter l’inflation.” → Analyse : “devrait” indique une obligation non absolue.
130;Naturalisation;Transformation d’une idéologie en évidence naturelle (Fairclough, 1995).;Les Echos, 10/10/2023: “Les investissements étrangers sont essentiels à la croissance.” → Analyse : Idéologie présentée comme naturelle.
131;Naturalisation;Présenter comme naturel (Fairclough, 1995).;Les Echos, 10/10/2023: “Les hausses de prix sont jugées inévitables.” → Analyse : Naturalisation.
132;Naturalisation idéologique;Transformation d’une idéologie en évidence (Fairclough, 1995).;Les Echos, 10/10/2023: “Le marché libre est essentiel à la croissance.” → Analyse : Idéologie naturalisée.
133;Négativisation;Présentation négative (van Dijk, 1998).;Libération, 05/03/2024: “La réforme nuit aux plus vulnérables.” → Analyse : Image négative.
134;Nom abstrait;Nom désignant une idée abstraite (Fairclough, 1995).;Le Monde, 19/03/2023: “Le maintien de l’ordre est nécessaire.” → Analyse : Abstraction.
135;Nominalisation;Transformation d’un verbe en nom. Elle efface l’agent (Fairclough, 1995).;France24, 15/04/2023: “La dispersion des manifestants a eu lieu en fin de journée.” → Analyse : Effacement de l’agent.
136;Nominalisation;Transformation d’un verbe en nom (Fairclough, 1995).;Le Monde, 19/03/2023: “Le maintien de l’ordre est appliqué.” → Analyse : Abstraction.
137;Normalisation;Rendre un fait normal (Fairclough, 1995).;Les Echos, 10/10/2023: “L’augmentation des prix est présentée comme normale.” → Analyse : Naturalisation.
138;Normalisation;Rendre une pratique normale (Foucault, 1977).;Le Monde, 19/03/2023: “La réforme est présentée comme normale.” → Analyse : Naturalisation.
139;Objectivité;Présentation neutre de l’information. Elle reste influencée par le langage (van Dijk, 1998).;Le Monde, 12/06/2023: “Le gouvernement adopte une nouvelle mesure économique.” → Analyse : Ton neutre apparent.
140;Ordre du discours;Configuration des discours (Fairclough, 1995).;Les Echos, 10/10/2023: “Le discours économique est dominé par le marché.” → Analyse : Ordre dominant.
141;Personnalisation / impersonnalisation;Présence ou absence de l’acteur (Fairclough, 1995).;Le Monde, 12/06/2023: “Une hausse des impôts est observée.” → Analyse : Effacement de l’agent.
142;Personnification;Attribution de qualités humaines (Lakoff & Johnson, 1980).;Les Echos, 10/10/2023: “L’économie souffre encore des effets de la crise.” → Analyse : Humanisation.
143;Perspective;Point de vue adopté dans le discours (Fowler, 1991).;Le Monde, 19/03/2023: “Du point de vue du gouvernement, la réforme est indispensable.” → Analyse : Perspective dominante.
144;Pertinence;Importance d’une information dans un contexte (Sperber & Wilson, 1986).;Le Monde, 02/03/2024: “L’éducation devient une priorité nationale.” → Analyse : Pertinence élevée.
145;Polarisation;Division en “nous” et “eux”. Elle renforce les conflits (van Dijk, 1998).;Le Figaro, 10/02/2023: “Nous défendons les citoyens, eux protègent leurs intérêts.” → Analyse : Opposition binaire.
146;Polarisation idéologique;Division en “nous/eux” (van Dijk, 1998).;Le Monde, 19/03/2023: “Ces groupes sont perçus comme une menace.” → Analyse : Polarisation.
147;Positivisation;Présentation positive (van Dijk, 1998).;Le Monde, 19/03/2023: “La réforme apporte des bénéfices importants.” → Analyse : Image positive.
148;Pouvoir discursif;Contrôle de la production du discours (Foucault, 1972).;Le Monde, 19/03/2023: “Le gouvernement domine le débat public.” → Analyse : Contrôle discursif.
149;Pouvoir symbolique;Capacité d’influencer par les symboles (Bourdieu, 1991).;Le Monde, 12/06/2023: “Le gouvernement affirme agir pour l’intérêt national.” → Analyse : Influence symbolique.
150;Pratique critique;Application de l’analyse critique (Wodak & Meyer, 2001).;Libération, 05/03/2024: “L’analyse critique met en cause certaines pratiques.” → Analyse : Engagement critique.
151;Pratique discursive;Production et circulation du discours (Fairclough, 1995).;Le Monde, 12/06/2023: “La réforme est largement diffusée dans les médias.” → Analyse : Circulation discursive.
152;Pratique idéologique;Usage du discours pour l’idéologie (van Dijk, 1998).;Les Echos, 10/10/2023: “La réforme est orientée vers le marché.” → Analyse : Idéologie économique.
153;Pratique sociale;Contexte social du discours (Fairclough, 1995).;Les Echos, 10/10/2023: “La réforme reflète le modèle économique du pays.” → Analyse : Dimension sociale.
154;Présupposition;Information supposée vraie. Elle n’est pas remise en question (Yule, 1996).;Le Monde, 12/06/2023: “Le système doit être amélioré à nouveau.” → Analyse : Suppose un problème initial.
155;Présupposition;Information supposée vraie (Yule, 1996).;Le Monde, 19/03/2023: “Le gouvernement augmente encore les prix.” → Analyse : Action antérieure présupposée.
156;Production de vérité;Création du savoir légitime (Foucault, 1972).;France24, 06/04/2023: “Les données confirment l’efficacité de la réforme.” → Analyse : Validation discursive.
157;Production du discours;Création du discours (Foucault, 1972).;Le Monde, 19/03/2023: “Le gouvernement construit le récit de la réforme.” → Analyse : Production contrôlée.
158;Production du sujet;Construction du sujet (Foucault, 1972).;Le Monde, 19/03/2023: “Les citoyens sont présentés comme devant obéir.” → Analyse : Subjectivation.
159;Proposition complexe;Phrase avec plusieurs propositions (Halliday, 1978).;Le Monde, 19/03/2023: “La réforme est adoptée car elle améliore l’économie.” → Analyse : Relation causale.
160;Réarticulation;Reconfiguration du sens (Laclau & Mouffe, 1985).;Le Monde, 12/06/2023: “Le développement est lié à la durabilité.” → Analyse : Nouveau sens.
161;Recadrage;Changement de cadrage (Entman, 1993).;France24, 06/04/2023: “La réforme est présentée comme une opportunité.” → Analyse : Nouveau cadrage.
162;Recontextualisation;Transfert de contexte (van Leeuwen, 2008).;Le Monde, 12/06/2023: “Les propos sont repris dans un autre contexte.” → Analyse : Transformation du sens.
163;Réduction;Simplification de la réalité (Fairclough, 1995).;Les Echos, 10/10/2023: “La crise est due à des facteurs externes.” → Analyse : Simplification excessive.
164;Référence;Renvoi à un élément (Halliday & Hasan, 1976).;Le Monde, 12/06/2023: “Le gouvernement a adopté une réforme. Celle-ci vise à améliorer l’économie.” → Analyse : Référence.
165;Réflexivité;Conscience du chercheur (Fairclough, 1995).;Le Monde, 12/06/2023: “L’analyse adopte une perspective critique.” → Analyse : Positionnement analytique.
166;Régime de vérité;Système définissant le vrai (Foucault, 1972).;Le Monde, 12/06/2023: “Le gouvernement affirme que la réforme est nécessaire.” → Analyse : Vérité institutionnelle.
167;Régulation discursive;Règles du discours (Foucault, 1972).;Le Monde, 12/06/2023: “Les règles encadrent la communication.” → Analyse : Régulation.
168;Réification;Transformation d’un concept abstrait en entité concrète (Fairclough, 1995).;Les Echos, 10/10/2023: “Le marché exige des réformes.” → Analyse : Abstraction personnifiée.
169;Renforcement (boosting);Augmentation de la certitude (Hyland, 1998).;Le Monde, 19/03/2023: “La réforme améliorera sans aucun doute la situation.” → Analyse : Certitude forte.
