No;Istilah (ID);Definisi (ID );Contoh   (ID)
15;Fungsi Bahasa;Fungsi bahasa adalah peran bahasa dalam komunikasi. Bahasa dapat mempengaruhi dan membujuk (Halliday, 1978).;CNN Indonesia, 12/01/2024: “Kandidat menegaskan komitmennya untuk meningkatkan kesejahteraan rakyat.” → Analisis: Fungsi persuasif untuk mempengaruhi audiens.
16;Gaya Bahasa;Gaya bahasa adalah variasi penggunaan bahasa sesuai konteks. Gaya mencerminkan strategi komunikasi (Leech, 1981).;Kompas, 03/10/2023: “Pemerintah mengambil langkah strategis dalam menghadapi inflasi global.” → Analisis: Gaya formal menunjukkan objektivitas jurnalistik.
17;Hegemoni;Hegemoni adalah dominasi ideologis yang diterima sebagai wajar. Ia bekerja melalui persetujuan sosial (Gramsci, 1971).;Bisnis Indonesia, 12/12/2023: “Investasi asing dinilai sebagai kunci pertumbuhan ekonomi nasional.” → Analisis: Ideologi ekonomi dinormalisasi sebagai kebenaran umum.
18;Ideologi;Ideologi adalah sistem kepercayaan dalam wacana. Ideologi memengaruhi cara memahami realitas (van Dijk, 1998).;Tempo, 01/03/2024: “Subsidi energi tetap diperlukan untuk menjaga stabilitas ekonomi nasional.” → Analisis: Menunjukkan posisi ideologis pro-intervensi negara.
19;Inklusi;Inklusi adalah strategi menampilkan aktor secara eksplisit. Hal ini meningkatkan visibilitas aktor (van Leeuwen, 2008).;Kompas Edu, 27/02/2023: “Guru dan siswa berperan aktif dalam implementasi kurikulum baru.” → Analisis: Aktor disebut jelas sehingga visibilitas tinggi.
20;Representasi Kekuasaan;Representasi kekuasaan adalah cara wacana menggambarkan relasi kuasa. Bahasa menjadi alat legitimasi (Fairclough, 1995).;CNN Indonesia, 12/01/2024 + Kompas, 13/04/2023: “Pemerintah mengambil langkah tegas untuk menjaga stabilitas nasional di tengah aksi demonstrasi.” → Analisis: Negara direpresentasikan sebagai aktor dominan yang legitim dalam mengontrol masyarakat.
21;Legitimasi;Legitimasi adalah proses pembenaran tindakan atau kebijakan dalam wacana. Bahasa digunakan untuk membuat tindakan tampak sah dan dapat diterima (Fairclough, 1995).;Kompas, 13/04/2023: “Aparat membubarkan aksi demi menjaga ketertiban umum dan keamanan masyarakat.” → Analisis: Frasa “demi menjaga ketertiban” melegitimasi tindakan represif sebagai sesuatu yang perlu dan wajar.
22;Marginalisasi;Marginalisasi adalah proses penyingkiran kelompok tertentu dalam representasi wacana. Hal ini sering terjadi melalui pengurangan visibilitas atau suara (van Dijk, 1998).;Kompas, 05/01/2024: “Warga terdampak penggusuran belum mendapatkan perhatian serius dari pemerintah.” → Analisis: Kelompok warga hanya disebut sebagai objek, menunjukkan posisi marginal.
23;Nominalisasi;Nominalisasi adalah perubahan verba menjadi nomina sehingga tindakan tampak tanpa pelaku. Strategi ini sering mengaburkan tanggung jawab (Fairclough, 1995).;Detik, 22/03/2023: “Terjadi pembubaran massa di lokasi kejadian.” → Analisis: Kata “pembubaran” menghapus pelaku (siapa yang membubarkan).
24;Polarisasi;Polarisasi adalah pembagian kelompok menjadi “kami” vs “mereka” dalam wacana. Strategi ini memperkuat identitas dan konflik sosial (van Dijk, 1998).;CNN Indonesia, 12/01/2024: “Kami memperjuangkan kepentingan rakyat, sementara mereka hanya memikirkan elite.” → Analisis: Kontras “kami–mereka” membangun oposisi ideologis.
25;Presuposisi;Presuposisi adalah informasi yang diasumsikan benar dalam ujaran. Ia diterima tanpa diperdebatkan (Yule, 1996).;Kompas, 03/10/2023: “Pemerintah kembali memperbaiki sistem yang dinilai belum optimal.” → Analisis: Mengandaikan sistem memang bermasalah sebelumnya.
26;Retorika;"Retorika adalah penggunaan bahasa untuk mempengaruhi audiens. Retorika berfungsi membangun persuasi (Aristotle; dalam Leech, 1981).";CNN Indonesia, 12/01/2024: “Kami akan memastikan kesejahteraan rakyat meningkat secara signifikan.” → Analisis: Pernyataan bersifat persuasif untuk membangun kepercayaan.
27;Strategi Diskursif;Strategi diskursif adalah cara sistematis menggunakan bahasa untuk mencapai tujuan tertentu. Strategi ini mencerminkan ideologi (Wodak & Meyer, 2001).;Kompas, 13/04/2023: “Aksi dibubarkan setelah dinilai mengganggu ketertiban umum.” → Analisis: Strategi justifikasi digunakan untuk membenarkan tindakan.
28;Topikalisasi;Topikalisasi adalah penonjolan informasi tertentu dalam struktur kalimat. Hal ini mengarahkan perhatian pembaca (Halliday, 1978).;Kompas, 13/04/2023: “Kericuhan terjadi dalam aksi demonstrasi tersebut.” → Analisis: “Kericuhan” ditempatkan di awal sebagai fokus utama.
29;Intertekstualitas;Intertekstualitas adalah hubungan antar teks dalam wacana. Teks saling merujuk untuk membangun makna (Fairclough, 1995).;Tempo, 01/03/2024: “Kebijakan ini melanjutkan program sebelumnya yang telah berjalan sejak tahun lalu.” → Analisis: Menghubungkan teks sekarang dengan teks sebelumnya.
30;Naturalization (Naturalisasi);Naturalisasi adalah proses membuat ideologi tampak sebagai kebenaran umum. Ideologi menjadi tidak dipertanyakan (Fairclough, 1995).;Bisnis Indonesia, 12/12/2023: “Investasi asing menjadi kunci utama pertumbuhan ekonomi nasional.” → Analisis: Pernyataan disajikan sebagai fakta umum tanpa alternatif.
31;Modalitas;Modalitas adalah ekspresi sikap penutur terhadap kemungkinan, keharusan, atau kepastian suatu peristiwa. Modalitas menunjukkan posisi subjektif dalam wacana (Halliday, 1978).;Kompas, 03/10/2023: “Pemerintah akan segera mengambil langkah strategis untuk mengendalikan inflasi.” → Analisis: Kata “akan” menunjukkan komitmen sekaligus ketidakpastian waktu pelaksanaan.
32;Metafora;Metafora adalah penggunaan bahasa kiasan untuk memahami suatu konsep melalui konsep lain. Dalam wacana, metafora dapat membentuk cara berpikir (Lakoff & Johnson, 1980).;CNN Indonesia, 18/07/2023: “Ekonomi Indonesia mulai bangkit dari keterpurukan pascapandemi.” → Analisis: Kata “bangkit” memetaforakan ekonomi sebagai makhluk hidup.
33;Eufemisme;Eufemisme adalah penggunaan ungkapan yang lebih halus untuk menggantikan istilah yang keras. Strategi ini sering digunakan untuk mengurangi dampak negatif (Allan & Burridge, 1991).;Kompas, 13/04/2023: “Aparat melakukan penertiban terhadap massa aksi.” → Analisis: Kata “penertiban” melembutkan tindakan represif.
34;Disfemisme;Disfemisme adalah penggunaan kata yang memperkeras atau memperburuk makna. Strategi ini menimbulkan efek negatif terhadap objek (Allan & Burridge, 1991).;Tempo, 01/03/2024: “Kebijakan tersebut dinilai sebagai langkah brutal terhadap masyarakat kecil.” → Analisis: Kata “brutal” memperkuat evaluasi negatif.
35;Intensifikasi;Intensifikasi adalah penguatan makna melalui pilihan leksikal atau struktur. Hal ini meningkatkan efek retoris (Fairclough, 1995).;CNN Indonesia, 12/01/2024: “Krisis ekonomi ini sangat serius dan berdampak luas bagi masyarakat.” → Analisis: Kata “sangat” memperkuat tingkat urgensi.
36;Mitigasi;Mitigasi adalah strategi pelemahan makna untuk mengurangi dampak pernyataan. Hal ini digunakan untuk menjaga kesopanan atau legitimasi (Brown & Levinson, 1987).;Kompas, 03/10/2023: “Kebijakan ini mungkin belum sepenuhnya optimal.” → Analisis: Kata “mungkin” melemahkan kritik.
37;Otoritas;Otoritas adalah legitimasi kekuasaan yang ditampilkan dalam wacana. Otoritas dibangun melalui posisi dan bahasa (van Dijk, 1998).;Kompas, 13/04/2023: “Pemerintah menegaskan bahwa kebijakan ini telah melalui kajian mendalam.” → Analisis: Pernyataan memperkuat otoritas pemerintah.
38;Argumentasi;Argumentasi adalah penyusunan alasan untuk mendukung suatu klaim. Dalam wacana, argumentasi membentuk persuasi (Toulmin, 1958).;CNN Indonesia, 12/01/2024: “Kebijakan ini diperlukan karena dapat meningkatkan pertumbuhan ekonomi nasional.” → Analisis: Struktur sebab-akibat membentuk argumen.
39;Representasi Sosial;Representasi sosial adalah cara kelompok atau individu digambarkan dalam wacana. Representasi ini memengaruhi persepsi publik (Hall, 1997).;Kompas, 05/01/2024: “Warga miskin perkotaan masih menghadapi berbagai kesulitan ekonomi.” → Analisis: Kelompok digambarkan sebagai rentan.
40;Reproduksi Wacana;Reproduksi wacana adalah pengulangan pola bahasa yang mempertahankan ideologi tertentu. Hal ini membuat ideologi tampak stabil (Fairclough, 1995).;Bisnis Indonesia, 12/12/2023: “Investasi menjadi kunci utama pertumbuhan ekonomi nasional.” → Analisis: Pengulangan narasi ekonomi memperkuat ideologi pasar.
41;Subjektivitas;Subjektivitas adalah keterlibatan sikap, opini, atau perspektif penutur dalam wacana. Hal ini menunjukkan bahwa bahasa tidak pernah sepenuhnya netral (Fairclough, 1995).;Tempo, 01/03/2024: “Kebijakan ini dianggap kurang berpihak kepada masyarakat kecil.” → Analisis: Kata “dianggap” menunjukkan posisi subjektif dan evaluatif.
42;Objektivitas;Objektivitas adalah upaya menyajikan informasi secara netral tanpa bias eksplisit. Namun dalam praktiknya, objektivitas tetap dipengaruhi pilihan bahasa (van Dijk, 1998).;Kompas, 03/10/2023: “Pemerintah menetapkan kebijakan baru untuk mengendalikan inflasi nasional.” → Analisis: Kalimat faktual tanpa evaluasi eksplisit menciptakan kesan objektif.
43;Perspektif;Perspektif adalah sudut pandang yang digunakan dalam menyajikan informasi. Perspektif menentukan bagaimana realitas dipahami (Fowler, 1991).;CNN Indonesia, 12/01/2024: “Dari sudut pandang pemerintah, kebijakan ini dianggap sebagai solusi terbaik.” → Analisis: Perspektif negara mendominasi narasi.
44;Seleksi Informasi;Seleksi informasi adalah proses memilih fakta tertentu dalam wacana. Hal ini memengaruhi interpretasi audiens (van Dijk, 1998).;Kompas, 13/04/2023: “Kerusuhan terjadi dalam aksi demonstrasi yang menolak kebijakan pemerintah.” → Analisis: Fokus pada kerusuhan, bukan tuntutan.
45;Relevansi;Relevansi adalah tingkat keterkaitan informasi dengan konteks komunikasi. Informasi yang dipilih dianggap penting (Sperber & Wilson, 1986).;Kompas Edu, 27/02/2023: “Peningkatan kualitas pendidikan menjadi fokus utama kebijakan baru.” → Analisis: Fokus menunjukkan relevansi tinggi dalam wacana pendidikan.
46;Reduksi;Reduksi adalah penyederhanaan kompleksitas realitas dalam wacana. Hal ini sering menghilangkan detail penting (Fairclough, 1995).;CNN Indonesia, 18/07/2023: “Krisis ekonomi terjadi akibat faktor global.” → Analisis: Kompleksitas sebab ekonomi direduksi menjadi satu faktor.
47;Generalisasi;Generalisasi adalah penyajian informasi seolah berlaku umum. Hal ini dapat memperkuat stereotip (van Dijk, 1998).;Tempo, 01/03/2024: “Masyarakat kecil selalu menjadi pihak yang dirugikan dalam kebijakan ekonomi.” → Analisis: Kata “selalu” menunjukkan generalisasi.
48;Diferensiasi;Diferensiasi adalah pembedaan kelompok dalam wacana. Hal ini membangun identitas sosial (van Dijk, 1998).;CNN Indonesia, 12/01/2024: “Kelompok elite dan masyarakat bawah memiliki kepentingan yang berbeda.” → Analisis: Membentuk kategori sosial berbeda.
49;Evaluasi Ideologis;Evaluasi ideologis adalah penilaian yang didasarkan pada sistem kepercayaan tertentu. Hal ini memengaruhi interpretasi (van Dijk, 1998).;Kompas, 03/10/2023: “Kebijakan ini dinilai tidak berpihak pada kepentingan rakyat kecil.” → Analisis: Penilaian berbasis ideologi pro-rakyat.
50;Transformasi Wacana;Transformasi wacana adalah perubahan cara suatu isu dibicarakan dalam masyarakat. Perubahan ini mencerminkan dinamika sosial (Fairclough, 1995).;Kompas Edu, 27/02/2023: “Pendidikan kini berorientasi pada kompetensi dan kebutuhan industri.” → Analisis: Terjadi perubahan diskursus pendidikan dari teori ke praktik.
51;Delegitimasi;Delegitimasi adalah strategi wacana untuk melemahkan atau meruntuhkan legitimasi pihak lain. Hal ini dilakukan melalui bahasa yang meragukan kredibilitas atau moralitas (van Dijk, 1998).;Tempo, 01/03/2024: “Kebijakan tersebut dinilai tidak memiliki dasar yang kuat dan merugikan masyarakat luas.” → Analisis: Pernyataan ini melemahkan legitimasi kebijakan melalui evaluasi negatif.
52;Othering;Othering adalah proses membedakan kelompok “kita” dan “mereka”. Strategi ini menciptakan jarak sosial dan identitas (van Dijk, 1998).;CNN Indonesia, 12/01/2024: “Mereka tidak memahami kebutuhan rakyat kecil.” → Analisis: Kata “mereka” membangun oposisi sosial.
53;Labelisasi;Labelisasi adalah pemberian label tertentu pada aktor dalam wacana. Label memengaruhi persepsi publik (Hall, 1997).;Kompas, 13/04/2023: “Kelompok tersebut dianggap sebagai provokator dalam aksi demonstrasi.” → Analisis: Label “provokator” memberi citra negatif.
54;Reifikasi;Reifikasi adalah proses menjadikan sesuatu yang abstrak seolah-olah konkret dan alami. Hal ini menyembunyikan konstruksi sosial (Fairclough, 1995).;Bisnis Indonesia, 12/12/2023: “Pasar menuntut kebijakan yang lebih fleksibel dari pemerintah.” → Analisis: “Pasar” diperlakukan sebagai aktor konkret.
55;Personifikasi;Personifikasi adalah pemberian sifat manusia pada konsep atau objek non-manusia. Ini memperkuat daya retoris (Lakoff & Johnson, 1980).;CNN Indonesia, 18/07/2023: “Ekonomi nasional sedang berjuang untuk pulih dari krisis.” → Analisis: Ekonomi diperlakukan seperti manusia.
56;Simplifikasi;Simplifikasi adalah penyederhanaan realitas kompleks dalam wacana. Hal ini sering menghilangkan nuansa penting (Fairclough, 1995).;CNN Indonesia, 18/07/2023: “Krisis ini terjadi karena faktor global semata.” → Analisis: Penyebab kompleks direduksi menjadi satu faktor.
57;Eksagerasi;Eksagerasi adalah pembesaran makna atau fakta dalam wacana. Hal ini meningkatkan efek dramatis (Leech, 1981).;Tempo, 01/03/2024: “Kebijakan ini berdampak besar terhadap seluruh aspek kehidupan masyarakat.” → Analisis: Kata “seluruh” memperbesar cakupan dampak.
58;Downplaying;Downplaying adalah strategi mengecilkan atau meremehkan suatu peristiwa. Hal ini mengurangi dampak persepsi (van Dijk, 1998).;Kompas, 03/10/2023: “Kenaikan harga tersebut hanya berdampak kecil terhadap masyarakat.” → Analisis: Dampak besar direduksi menjadi kecil.
59;Dramatisasi;Dramatisasi adalah penyajian peristiwa secara berlebihan untuk efek emosional. Hal ini meningkatkan perhatian audiens (Fairclough, 1995).;Kompas, 13/04/2023: “Aksi demonstrasi berubah menjadi chaos besar yang mengguncang ibu kota.” → Analisis: Kata “chaos besar” memperkuat efek dramatis.
60;Interpelasi;Interpelasi adalah proses pemanggilan individu menjadi subjek ideologis dalam wacana. Konsep ini menjelaskan bagaimana individu diposisikan (Althusser, 1971).;CNN Indonesia, 12/01/2024: “Sebagai warga negara yang baik, kita harus mendukung kebijakan ini.” → Analisis: Pembaca diposisikan sebagai subjek patuh.
61;Denotasi;Denotasi adalah makna literal atau makna dasar suatu kata dalam bahasa. Makna ini dianggap netral tanpa muatan evaluatif (Leech, 1981).;Kompas, 03/10/2023: “Pemerintah menetapkan kebijakan baru terkait pengendalian inflasi nasional.” → Analisis: Kata “menetapkan” digunakan dalam makna literal tanpa nilai evaluatif.
62;Konotasi;Konotasi adalah makna tambahan yang bersifat emosional atau evaluatif. Konotasi mencerminkan nilai dan ideologi (Leech, 1981).;Kompas, 13/04/2023: “Aksi tersebut berubah menjadi kerusuhan yang meresahkan masyarakat.” → Analisis: Kata “kerusuhan” mengandung konotasi negatif.
63;Signifikasi;Signifikasi adalah proses pemberian makna dalam wacana. Makna terbentuk melalui relasi antara tanda dan konteks (Saussure, 1916).;Kompas Edu, 27/02/2023: “Pendidikan menjadi kunci utama dalam pembangunan bangsa.” → Analisis: “kunci utama” menandakan pentingnya pendidikan.
64;Semiotic Framing;Semiotic framing adalah pembingkaian makna melalui tanda dan simbol. Hal ini mempengaruhi interpretasi audiens (Kress & van Leeuwen, 2006).;CNN Indonesia, 18/07/2023: “Pemerintah menggunakan istilah ‘pemulihan ekonomi’ untuk menggambarkan kebijakan baru.” → Analisis: Istilah membingkai kebijakan secara positif.
65;Wacana Dominan;Wacana dominan adalah wacana yang paling berpengaruh dalam masyarakat. Wacana ini sering dianggap sebagai kebenaran umum (Fairclough, 1995).;Bisnis Indonesia, 12/12/2023: “Investasi menjadi kunci utama pertumbuhan ekonomi nasional.” → Analisis: Narasi ekonomi pasar menjadi dominan.
66;Wacana Alternatif;Wacana alternatif adalah wacana yang menantang dominasi. Wacana ini sering muncul dari kelompok marginal (Fairclough, 1995).;Tempo, 01/03/2024: “Kelompok masyarakat sipil menolak kebijakan tersebut karena dianggap merugikan rakyat kecil.” → Analisis: Narasi tandingan terhadap kebijakan.
67;Voice (Suara);Voice adalah representasi siapa yang berbicara dalam wacana. Distribusi suara mencerminkan kekuasaan (van Dijk, 1998).;CNN Indonesia, 12/01/2024: “Para pejabat pemerintah menyampaikan bahwa kebijakan ini penting bagi stabilitas nasional.” → Analisis: Suara pemerintah lebih dominan.
68;Silence (Pembungkaman);Silence adalah ketiadaan suara atau informasi dalam wacana. Hal ini dapat menunjukkan marginalisasi (van Dijk, 1998).;Kompas, 05/01/2024: “Kebijakan ini diberlakukan tanpa banyak melibatkan masyarakat terdampak.” → Analisis: Suara masyarakat tidak muncul.
69;Interaksi Wacana;Interaksi wacana adalah hubungan antar partisipan dalam komunikasi. Interaksi ini membentuk makna bersama (Goffman, 1981).;CNN Indonesia, 12/01/2024: “Para kandidat saling menanggapi argumen dalam debat terbuka.” → Analisis: Makna dibangun melalui interaksi.
70;Struktur Makro;Struktur makro adalah tema global dalam suatu teks. Struktur ini menentukan arah makna keseluruhan (van Dijk, 1980).;Kompas, 13/04/2023: “Aksi demonstrasi menolak kebijakan pemerintah berujung pada pembubaran oleh aparat.” → Analisis: Tema utama adalah konflik antara negara dan masyarakat.
71;Legitimasi Moral;Legitimasi moral adalah pembenaran tindakan berdasarkan nilai etika atau moral. Strategi ini membuat kebijakan tampak benar secara normatif (van Leeuwen, 2008).;Kompas, 13/04/2023: “Kebijakan ini diambil demi melindungi kepentingan masyarakat luas.” → Analisis: Frasa “demi melindungi” memberi legitimasi moral.
72;Legitimasi Rasional;Legitimasi rasional adalah pembenaran berdasarkan logika atau alasan teknis. Strategi ini menekankan efisiensi dan rasionalitas (van Leeuwen, 2008).;Bisnis Indonesia, 12/12/2023: “Kebijakan ini diperlukan untuk menjaga stabilitas ekonomi nasional.” → Analisis: Alasan teknis digunakan sebagai legitimasi.
73;Legitimasi Otoritas;Legitimasi otoritas adalah pembenaran berdasarkan posisi atau kekuasaan. Otoritas digunakan sebagai sumber kebenaran (van Leeuwen, 2008).;Kompas, 03/10/2023: “Menurut Presiden, kebijakan ini sudah melalui kajian mendalam.” → Analisis: Otoritas Presiden digunakan sebagai legitimasi.
74;Legitimasi Tradisional;Legitimasi tradisional adalah pembenaran berdasarkan kebiasaan atau tradisi. Hal ini membuat tindakan tampak wajar (van Leeuwen, 2008).;Kompas, 27/02/2023: “Kebijakan ini melanjutkan tradisi yang telah berjalan selama bertahun-tahun.” → Analisis: Tradisi digunakan sebagai dasar legitimasi.
75;Legitimasi Naratif;Legitimasi naratif adalah pembenaran melalui cerita atau pengalaman. Narasi digunakan untuk memperkuat makna (van Leeuwen, 2008).;Tempo, 01/03/2024: “Sejak dulu kebijakan ini terbukti membawa manfaat bagi masyarakat.” → Analisis: Narasi historis memperkuat legitimasi.
76;Delegitimasi Moral;Delegitimasi moral adalah pelemahan pihak lain melalui penilaian etis negatif. Strategi ini menampilkan lawan sebagai tidak bermoral (van Dijk, 1998).;Tempo, 01/03/2024: “Kebijakan ini tidak adil bagi masyarakat kecil.” → Analisis: Penilaian moral digunakan untuk melemahkan legitimasi.
77;Delegitimasi Rasional;Delegitimasi rasional adalah pelemahan melalui argumen logis. Kebijakan dianggap tidak efektif atau tidak masuk akal (van Dijk, 1998).;Kompas, 03/10/2023: “Kebijakan ini dinilai tidak efektif dalam mengatasi masalah inflasi.” → Analisis: Kritik berbasis logika.
78;Delegitimasi Otoritas;Delegitimasi otoritas adalah penolakan terhadap sumber kekuasaan. Otoritas dipertanyakan kredibilitasnya (van Dijk, 1998).;CNN Indonesia, 12/01/2024: “Pernyataan pejabat tersebut diragukan kebenarannya oleh publik.” → Analisis: Otoritas dilemahkan.
79;Delegitimasi Tradisional;Delegitimasi tradisional adalah penolakan terhadap praktik lama. Tradisi dianggap tidak relevan (van Dijk, 1998).;Kompas, 27/02/2023: “Kebijakan lama dinilai sudah tidak sesuai dengan kebutuhan saat ini.” → Analisis: Tradisi dilemahkan.
80;Delegitimasi Naratif;Delegitimasi naratif adalah pelemahan melalui cerita atau pengalaman negatif. Narasi digunakan untuk membangun citra buruk (van Dijk, 1998).;Tempo, 01/03/2024: “Pengalaman sebelumnya menunjukkan kebijakan ini justru merugikan masyarakat.” → Analisis: Narasi masa lalu digunakan untuk kritik.
81;Manipulasi Wacana;Manipulasi wacana adalah strategi penggunaan bahasa untuk memengaruhi persepsi tanpa disadari audiens. Strategi ini sering menyembunyikan kepentingan ideologis (van Dijk, 2006).;Kompas, 03/10/2023: “Kebijakan ini diklaim sebagai solusi terbaik bagi seluruh masyarakat.” → Analisis: Klaim “terbaik” tanpa pembanding menunjukkan upaya manipulatif.
82;Kontrol Informasi;Kontrol informasi adalah pembatasan atau pengaturan informasi dalam wacana. Hal ini memengaruhi apa yang diketahui publik (van Dijk, 1998).;CNN Indonesia, 12/01/2024: “Informasi terkait kebijakan ini masih terbatas dan belum disampaikan secara terbuka.” → Analisis: Akses informasi dikendalikan.
83;Agenda Setting;Agenda setting adalah proses menentukan isu mana yang dianggap penting. Media memengaruhi prioritas publik (McCombs & Shaw, 1972).;Kompas, 13/04/2023: “Isu keamanan menjadi fokus utama dalam pemberitaan demonstrasi.” → Analisis: Media menentukan fokus isu.
84;Framing Selektif;Framing selektif adalah pemilihan aspek tertentu dalam pemberitaan. Hal ini mengarahkan interpretasi (Entman, 1993).;Kompas, 13/04/2023: “Kerusuhan mewarnai aksi demonstrasi di ibu kota.” → Analisis: Fokus pada kekerasan, bukan tuntutan.
85;Distorsi Wacana;Distorsi wacana adalah penyimpangan fakta dalam penyajian informasi. Hal ini dapat mengubah persepsi publik (Fairclough, 1995).;Tempo, 01/03/2024: “Data ekonomi disajikan tanpa konteks yang jelas.” → Analisis: Informasi menjadi bias karena tidak lengkap.
86;Bias Ideologis;Bias ideologis adalah kecenderungan berpihak dalam wacana. Bias ini mencerminkan posisi ideologi tertentu (van Dijk, 1998).;Kompas, 03/10/2023: “Kebijakan ini dianggap sebagai langkah pro-rakyat.” → Analisis: Perspektif ideologis mendukung pemerintah.
87;Normalisasi;Normalisasi adalah proses menjadikan sesuatu tampak wajar dalam wacana. Hal ini mengaburkan sifat problematis (Fairclough, 1995).;Bisnis Indonesia, 12/12/2023: “Kenaikan harga dianggap sebagai hal yang lumrah dalam dinamika ekonomi.” → Analisis: Kondisi negatif dinormalisasi.
88;Naturalisation Ideologis;Naturalisasi ideologis adalah proses menjadikan ideologi tampak sebagai kebenaran umum. Ideologi tidak lagi dipertanyakan (Fairclough, 1995).;Bisnis Indonesia, 12/12/2023: “Pasar bebas menjadi kunci utama pertumbuhan ekonomi.” → Analisis: Ideologi ekonomi disajikan sebagai fakta.
